iter	Passed	Remaining
0	196	195930
1	208	104073
2	243	80871
3	258	64327
4	268	53335
5	270	44845
6	272	38671
7	274	33985
8	275	30343
9	277	27459
10	279	25097
11	283	23328
12	285	21643
13	286	20195
14	288	18952
15	290	17855
16	291	16873
17	293	15999
18	297	15379
19	299	14676
20	301	14046
21	303	13485
22	306	13015
23	308	12528
24	311	12161
25	316	11844
26	318	11463
27	320	11120
28	322	10789
29	326	10563
30	328	10274
31	331	10014
32	336	9863
33	341	9714
34	344	9487
35	346	9269
36	348	9062
37	350	8861
38	351	8673
39	356	8557
40	358	8391
41	361	8242
42	363	8088
43	365	7931
44	367	7789
45	371	7710
46	374	7588
47	376	7459
48	377	7336
49	380	7222
50	381	7101
51	385	7030
52	388	6949
53	391	6855
54	392	6751
55	395	6659
56	396	6564
57	398	6475
58	400	6388
59	402	6303
60	404	6232
61	407	6168
62	410	6104
63	412	6029
64	418	6014
65	424	6004
66	427	5947
67	429	5884
68	431	5821
69	434	5768
70	440	5768
71	443	5714
72	445	5662
73	457	5719
74	460	5675
75	462	5623
76	485	5825
77	510	6029
78	518	6040
79	534	6144
80	538	6105
81	540	6050
82	541	5985
83	544	5940
84	548	5905
85	550	5854
86	552	5802
87	554	5747
88	556	5697
89	559	5656
90	562	5622
91	564	5573
92	577	5634
93	583	5626
94	585	5577
95	587	5532
96	590	5499
97	592	5454
98	594	5408
99	596	5370
100	598	5327
101	599	5281
102	601	5237
103	602	5193
104	607	5177
105	609	5136
106	610	5097
107	612	5057
108	613	5017
109	615	4977
110	616	4938
111	617	4899
112	620	4867
113	621	4833
114	623	4797
115	625	4766
116	628	4745
117	630	4711
118	632	4679
119	633	4648
120	636	4624
121	638	4592
122	639	4561
123	641	4529
124	642	4499
125	644	4470
126	645	4440
127	647	4411
128	651	4396
129	653	4373
130	656	4357
131	658	4331
132	660	4304
133	662	4279
134	664	4257
135	666	4235
136	670	4220
137	672	4201
138	675	4182
139	677	4161
140	682	4159
141	683	4132
142	686	4114
143	692	4119
144	698	4117
145	700	4097
146	704	4085
147	706	4065
148	708	4048
149	713	4042
150	717	4031
151	721	4025
152	734	4064
153	737	4053
154	745	4066
155	752	4070
156	761	4091
157	765	4080
158	773	4088
159	782	4106
160	784	4088
161	796	4121
162	799	4107
163	802	4091
164	808	4091
165	812	4079
166	815	4069
167	820	4064
168	825	4056
169	834	4074
170	839	4069
171	848	4085
172	856	4096
173	860	4086
174	867	4088
175	873	4088
176	877	4081
177	884	4082
178	887	4071
179	891	4061
180	897	4061
181	900	4048
182	907	4053
183	910	4036
184	922	4063
185	947	4145
186	951	4136
187	954	4123
188	959	4117
189	961	4100
190	966	4092
191	968	4076
192	970	4058
193	975	4053
194	977	4036
195	980	4020
196	982	4003
197	984	3986
198	986	3971
199	991	3965
200	994	3951
201	999	3949
202	1001	3933
203	1008	3934
204	1010	3918
205	1012	3902
206	1014	3885
